Destination Port,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Mean,Fwd Header Length,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Bytes,Subflow Bwd Bytes,Init_Win_bytes_forward
443,7293,1454,520.9285714,4795,1454,368.8461538,993.8571429,13914,447.7037037,466.0714286,313.9230769,7293,4795,64240
443,8152,1454,509.5,12520,1454,658.9473684,971,15536,590.6285714,454.75,604.3157895,8152,12520,64240
443,6495,1454,382.0588235,6164,1454,342.4444444,716.1176471,12174,361.6857143,327.3529412,287.1111111,6495,6164,64240
443,6135,1454,557.7272727,4729,1454,675.5714286,1067.454545,11742,603.5555556,502.6363636,619.8571429,6135,4729,64240
443,11406,1454,570.3,11619,1354,611.5263158,1092.6,21852,590.3846154,515.7,557.3157895,11406,11619,64240
443,3241,1454,294.6363636,6617,1454,551.4166667,541.2727273,5954,428.6086957,239.5454545,496.4166667,3241,6617,64240
443,4585,1454,352.6923077,6844,1454,526.4615385,657.3846154,8546,439.5769231,297.7692308,471.5384615,4585,6844,64240
443,3826,1454,273.2857143,6126,1454,291.7142857,498.5714286,6980,284.3428571,218.4285714,236,3826,6126,64240
443,2388,1454,398,482,308,120.5,748,4488,287,342,63.5,2388,482,64240
443,2199,1454,549.75,66,66,66,1051.5,4206,453,492.75,0,2199,66,64240
443,2245,1454,374.1666667,3494,1454,582.3333333,700.3333333,4202,478.25,318.1666667,524.3333333,2245,3494,64240
443,66,66,66,66,66,66,84,84,66,0,0,66,66,64240
443,8698,1454,543.625,8553,1454,534.5625,1039.25,16628,539.09375,488.875,479.8125,8698,8553,64240
443,2444,1454,407.3333333,1112,672,222.4,766.6666667,4600,323.2727273,351.3333333,166,2444,1112,64240
443,3959,1454,439.8888889,4233,1454,470.3333333,831.7777778,7486,455.1111111,381.8888889,413.6666667,3959,4233,64240
443,2300,1454,328.5714286,4773,1454,530.3333333,609.1428571,4264,442.0625,272.8571429,475,2300,4773,64240
443,2423,1454,403.8333333,2169,1429,433.8,759.6666667,4558,417.4545455,347.8333333,377.4,2423,2169,64240
443,66,66,66,0,0,0,84,84,66,0,0,66,0,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,509
443,1974,571,116.1176471,38781,1454,901.8837209,184.2352941,3132,679.25,61.41176471,845.9302326,1974,38781,64240
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,508
443,7503,1454,833.6666667,6129,1454,875.5714286,1619.333333,14574,852,778.3333333,821.5714286,7503,6129,514
443,5542,1454,923.6666667,718,544,179.5,1799.333333,10796,626,869.6666667,122.5,5542,718,514
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41432,225,93,75,162,54,54,102,306,64.5,21,0,225,162,286
443,55,55,55,66,66,66,62,62,60.5,1,0,55,66,513
41031,387,93,64.5,240,78,60,81,486,62.7,10.5,6,387,240,501
443,4132,1454,516.5,2829,1454,404.1428571,985,7880,464.0666667,461,346.7142857,4132,2829,64240
443,9204,1454,200.0869565,13282,1454,198.238806,352.173913,16200,198.9911504,145.826087,144.0597015,9204,13282,64240
443,2218,1454,369.6666667,4233,1454,604.7142857,691.3333333,4148,496.2307692,313.6666667,549,2218,4233,64240
443,66,66,66,198,66,66,84,84,66,0,0,66,198,64240
443,2683,1454,383.2857143,1974,1454,282,718.5714286,5030,332.6428571,325.8571429,226.2857143,2683,1974,64240
443,4234,1454,470.4444444,2955,1454,328.3333333,892.8888889,8036,399.3888889,413.7777778,270.3333333,4234,2955,64240
443,3046,1454,338.4444444,6551,1454,655.1,628.8888889,5660,505.1052632,283.1111111,599.9,3046,6551,64240
443,2291,1454,327.2857143,5499,1454,611,606.5714286,4246,486.875,271.5714286,555.6666667,2291,5499,64240
443,6111,1454,92.59090909,241773,1454,1397.531792,137.1818182,9054,1037.171548,38.40909091,1343.462428,6111,241773,64240
443,3601,1454,257.2142857,12383,1454,687.9444444,466.4285714,6530,499.5,202.3571429,633.2777778,3601,12383,64240
443,3677,1454,262.6428571,4900,1454,350,477.2857143,6682,306.3214286,206.9285714,295.1428571,3677,4900,64240
443,3855,1454,175.2272727,78879,1454,1272.241935,302.4545455,6654,984.9285714,120.1363636,1218.048387,3855,78879,64240
