Destination Port,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Mean,Fwd Header Length,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Bytes,Subflow Bwd Bytes,Init_Win_bytes_forward
443,13181,1506,299.5681818,238018,1506,1239.677083,551.1363636,24250,1064.402542,245.2954545,1185.614583,13181,238018,64240
443,39699,1506,179.6334842,1633927,1506,1153.903249,311.2669683,68790,1022.373855,125.5791855,1099.886299,39699,1633927,64240
443,30211,1506,202.7583893,992305,1506,1194.109507,357.5167785,53270,1043.383673,148.6778523,1140.095066,30211,992305,64240
6802,641,183,80.125,2024,1474,337.3333333,112.25,898,190.3571429,26.125,283.3333333,641,2024,1346
443,425,175,106.25,448,161,112,164.5,658,109.125,52.25,58,425,448,514
6912,353,100,70.6,324,54,54,93.2,466,61.54545455,16.6,0,353,324,63
443,1837,852,204.1111111,4230,1474,384.5454545,360.2222222,3242,303.35,148.7777778,329.4545455,1837,4230,64240
7209,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16386
7211,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16385
7214,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16386
7680,132,66,66,0,0,0,84,168,66,0,0,132,0,64240
443,696,294,174,687,316,229,300,1200,197.5714286,120,175,696,687,510
443,44457,1506,187.5822785,1709250,1506,1151.010101,327.164557,77538,1018.412892,133.5822785,1097.010101,44457,1709250,516
443,57508,1506,277.8164251,1349235,1506,1140.519865,507.6328502,105080,1012.045324,223.8164251,1086.519865,57508,1349235,516
443,13181,1506,299.5681818,238018,1506,1239.677083,551.1363636,24250,1064.402542,245.2954545,1185.614583,13181,238018,64240
443,39699,1506,179.6334842,1633927,1506,1153.903249,311.2669683,68790,1022.373855,125.5791855,1099.886299,39699,1633927,64240
443,32800,1506,194.0828402,1184989,1506,1181.444666,340.1656805,57488,1039.069113,140.0118343,1127.432702,32800,1184989,64240
6802,641,183,80.125,2024,1474,337.3333333,112.25,898,190.3571429,26.125,283.3333333,641,2024,1346
443,850,175,106.25,951,161,105.6666667,164.5,1316,105.9411765,52.25,51.66666667,850,951,514
6912,353,100,70.6,324,54,54,93.2,466,61.54545455,16.6,0,353,324,63
443,1837,852,204.1111111,4230,1474,384.5454545,360.2222222,3242,303.35,148.7777778,329.4545455,1837,4230,64240
7209,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16386
7211,112,56,56,54,54,54,64,128,55.33333333,2,0,112,54,16385
