Destination Port,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Mean,Fwd Header Length,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Bytes,Subflow Bwd Bytes,Init_Win_bytes_forward,prediction,probability,prediction_label
443.0,4234.0,1454.0,470.4444444,2955.0,1454.0,328.3333333,892.8888889,8036.0,399.3888889,413.7777778,270.3333333,4234.0,2955.0,64240.0,0,0.0013780713,BENIGN
443.0,3046.0,1454.0,338.4444444,6551.0,1454.0,655.1,628.8888889,5660.0,505.1052632,283.1111111,599.9,3046.0,6551.0,64240.0,0,0.00022276951,BENIGN
443.0,2291.0,1454.0,327.2857143,5499.0,1454.0,611.0,606.5714286,4246.0,486.875,271.5714286,555.6666667,2291.0,5499.0,64240.0,0,0.00015092677,BENIGN
443.0,4560.0,1454.0,120.0,131088.0,1454.0,1379.873684,192.0,7296.0,1019.909774,65.68421053,1325.747368,4560.0,131088.0,64240.0,0,0.0009335886,BENIGN
443.0,2042.0,1454.0,510.5,66.0,66.0,66.0,973.0,3892.0,421.6,453.5,0.0,2042.0,66.0,64240.0,0,0.00046858392,BENIGN
443.0,3503.0,1454.0,318.4545455,1439.0,489.0,159.8888889,588.9090909,6478.0,247.1,263.3636364,104.5555556,3503.0,1439.0,64240.0,0,0.0047619813,BENIGN
443.0,3411.0,1454.0,243.6428571,35467.0,1454.0,1144.096774,439.2857143,6150.0,863.9555556,188.7857143,1089.709677,3411.0,35467.0,64240.0,0,0.0009781506,BENIGN
443.0,2622.0,1454.0,437.0,1746.0,1454.0,349.2,826.0,4956.0,397.0909091,381.0,292.8,2622.0,1746.0,64240.0,0,0.0017956286,BENIGN
443.0,66.0,66.0,66.0,0.0,0.0,0.0,84.0,84.0,66.0,0.0,0.0,66.0,0.0,64240.0,0,1.7984565e-05,BENIGN
443.0,66.0,66.0,66.0,0.0,0.0,0.0,84.0,84.0,66.0,0.0,0.0,66.0,0.0,64240.0,0,1.7984565e-05,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,509.0,0,0.0019751312,BENIGN
443.0,1974.0,571.0,116.1176471,38781.0,1454.0,901.8837209,184.2352941,3132.0,679.25,61.41176471,845.9302326,1974.0,38781.0,64240.0,0,0.0007858168,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,508.0,0,0.001975164,BENIGN
443.0,7383.0,1454.0,1054.714286,2466.0,1454.0,822.0,2061.428571,14430.0,984.9,1000.714286,768.0,7383.0,2466.0,514.0,0,0.0002824835,BENIGN
443.0,2071.0,1454.0,690.3333333,598.0,544.0,299.0,1332.666667,3998.0,533.8,636.3333333,245.0,2071.0,598.0,514.0,0,4.2522064e-05,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,513.0,0,0.0019750034,BENIGN
41432.0,225.0,93.0,75.0,162.0,54.0,54.0,102.0,306.0,64.5,21.0,0.0,225.0,162.0,286.0,0,1.7914213e-05,BENIGN
443.0,55.0,55.0,55.0,66.0,66.0,66.0,62.0,62.0,60.5,1.0,0.0,55.0,66.0,513.0,0,0.0019750034,BENIGN
41031.0,387.0,93.0,64.5,240.0,78.0,60.0,81.0,486.0,62.7,10.5,6.0,387.0,240.0,501.0,0,6.519147e-05,BENIGN
443.0,4132.0,1454.0,516.5,2829.0,1454.0,404.1428571,985.0,7880.0,464.0666667,461.0,346.7142857,4132.0,2829.0,64240.0,0,0.0013203971,BENIGN
443.0,9204.0,1454.0,200.0869565,13282.0,1454.0,198.238806,352.173913,16200.0,198.9911504,145.826087,144.0597015,9204.0,13282.0,64240.0,0,0.00031035507,BENIGN
443.0,2218.0,1454.0,369.6666667,4233.0,1454.0,604.7142857,691.3333333,4148.0,496.2307692,313.6666667,549.0,2218.0,4233.0,64240.0,0,0.00017544988,BENIGN
443.0,66.0,66.0,66.0,198.0,66.0,66.0,84.0,84.0,66.0,0.0,0.0,66.0,198.0,64240.0,0,2.3981438e-05,BENIGN
443.0,2683.0,1454.0,383.2857143,1974.0,1454.0,282.0,718.5714286,5030.0,332.6428571,325.8571429,226.2857143,2683.0,1974.0,64240.0,0,0.0024637638,BENIGN
